Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"Jabari Parker",24.6,ATL,Big,832,50,"72.9%",30,"8.1%",18,"1.0%",55,"27.3%"
"Thomas Bryant",22.2,WAS,Big,830,49,"72.6%",67,"13.4%",41,"1.4%",74,"32.6%"
"Enes Kanter",27.4,BOS,Big,830,43,"72.0%",58,"11.8%",59,"1.8%",53,"27.0%"
"Aron Baynes",32.8,PHX,Big,826,48,"72.6%",18,"6.4%",77,"2.2%",72,"31.8%"
"Mohamed Bamba",21.4,ORL,Big,813,38,"69.8%",22,"6.9%",26,"1.2%",12,"15.8%"
"Mason Plumlee",29.6,DEN,Big,807,5,"54.6%",94,"21.0%",83,"2.5%",31,"21.4%"
"Marvin Williams",33.3,CHA,Big,804,97,"86.0%",17,"6.4%",48,"1.5%",84,"35.7%"
"Patrick McCaw",24.0,TOR,Wing,802,"","72.2%",44,"6.4%",1,"0.2%",35,"20.0%"
"Ian Mahinmi",32.9,WAS,Big,799,21,"63.6%",95,"21.4%",69,"2.0%",58,"28.3%"
"Omari Spellman",22.2,GSW,Big,794,74,"78.5%",65,"13.2%",19,"1.0%",57,"28.2%"
"Torrey Craig",28.8,DEN,Wing,789,3,"63.0%",29,"5.3%",26,"0.6%",90,"40.0%"
"Vince Carter",42.7,ATL,Big,774,93,"84.6%",3,"3.0%",14,"0.9%",42,"25.0%"
"Trevor Ariza",34.3,SAC,Forward,768,44,"77.8%",27,"7.0%",44,"0.9%",21,"16.7%"
"Justin Jackson",24.5,DAL,Forward,766,84,"84.2%",14,"5.2%",63,"1.2%",39,"21.4%"
"Gorgui Dieng",29.7,MIN,Big,762,77,"79.7%",34,"8.4%",57,"1.8%",15,"16.7%"
"Nicolo Melli",28.7,NOP,Big,761,60,"74.5%",18,"6.5%",82,"2.4%",71,"31.2%"
"Kenrich Williams",24.9,NOP,Big,756,"","37.5%",16,"6.3%",7,"0.5%",91,"44.4%"
"James Ennis",29.3,PHI,Wing,749,44,"78.0%",76,"10.6%",51,"0.9%",35,"20.0%"
"Jordan Clarkson",27.4,UTA,Wing,748,48,"79.2%",23,"4.6%",66,"1.2%",49,"22.2%"
"Semi Ojeleye",24.9,BOS,Big,743,"","85.7%",28,"8.1%",3,"0.4%",62,"30.0%"
"Damyean Dotson",25.4,NYK,Wing,740,"","64.0%",12,"3.4%",22,"0.6%",11,"11.1%"
"Khem Birch",27.0,ORL,Big,731,15,"61.3%",97,"23.7%",37,"1.3%",9,"12.9%"
"Alex Len",26.3,ATL,Big,716,19,"63.2%",66,"13.3%",48,"1.6%",14,"16.2%"
"Wes Iwundu",24.8,ORL,Forward,713,78,"82.8%",96,"16.3%",9,"0.6%",21,"16.7%"
"Robin Lopez",31.5,MIL,Big,709,3,"51.3%",30,"8.2%",45,"1.4%",82,"35.0%"
"Marco Belinelli",33.6,SAS,Wing,702,41,"77.8%",26,"5.0%",59,"1.0%",51,"23.1%"
"Frank Kaminsky",26.5,PHX,Big,701,28,"67.0%",65,"13.2%",47,"1.5%",35,"22.5%"
"Cody Martin",24.0,CHA,Wing,699,6,"65.9%",83,"12.5%",27,"0.6%",80,"31.8%"
"Kyle Korver",38.6,MIL,Wing,696,82,"85.2%",9,"3.2%",25,"0.6%",70,"28.6%"
"Malik Beasley",22.9,DEN,Wing,691,85,"86.2%",13,"3.5%",33,"0.7%",10,"10.0%"
"Lonnie Walker",20.8,SAS,Wing,685,14,"72.0%",74,"10.4%",42,"0.8%",51,"23.1%"
"Emmanuel Mudiay",23.6,UTA,Point,682,26,"74.6%",77,"10.8%",49,"1.7%",28,"16.7%"
"Michael Carter-Williams",28.0,ORL,Combo,665,46,"80.6%",94,"15.5%",79,"1.8%",79,"28.6%"
"Kyrie Irving",27.6,BKN,Point,658,100,"92.2%",49,"8.4%",91,"3.4%",36,"18.9%"
"Georges Niang",26.3,UTA,Big,658,"","85.0%",6,"3.7%",9,"0.6%",0,"0.0%"
"Jordan Clarkson",27.4,CLE,Wing,654,89,"88.4%",77,"10.9%",91,"1.9%",92,"40.5%"
"Thon Maker",22.6,DET,Big,649,26,"66.7%",93,"20.5%",72,"2.1%",50,"26.3%"
"Rodney McGruder",28.2,LAC,Wing,648,"","48.0%",57,"8.3%",10,"0.5%",68,"27.3%"
"Matthew Dellavedova",29.1,CLE,Combo,646,"","90.0%",16,"4.3%",35,"1.0%",21,"16.7%"
"Dwayne Bacon",24.1,CHA,Wing,645,8,"66.7%",79,"11.2%",19,"0.6%",81,"32.1%"
"Wilson Chandler",32.4,BKN,Big,638,"","89.5%",10,"4.7%",5,"0.4%",42,"25.0%"
"Mario Hezonja",24.6,POR,Forward,638,80,"82.9%",79,"12.9%",46,"0.9%",44,"22.7%"
"Abdel Nader",26.0,OKC,Forward,636,53,"78.4%",83,"13.6%",43,"0.9%",66,"26.9%"
"Sekou Doumbouya",18.8,DET,Forward,633,22,"70.0%",69,"11.2%",26,"0.7%",86,"33.3%"
"Chris Boucher",26.8,TOR,Big,628,75,"78.9%",85,"17.4%",47,"1.5%",35,"22.7%"
"Treveon Graham",26.0,MIN,Forward,626,27,"71.4%",51,"9.4%",29,"0.7%",29,"17.6%"
"Elie Okobo",22.0,PHX,Combo,620,8,"68.0%",73,"10.4%",81,"1.8%",52,"22.2%"
"Jevon Carter",24.1,PHX,Combo,617,"","71.4%",11,"3.8%",10,"0.6%",90,"33.3%"
"Rodney Hood",27.0,POR,Forward,617,44,"77.8%",43,"8.3%",40,"0.9%",34,"20.0%"
"Keita Bates-Diop",23.7,MIN,Big,613,33,"68.9%",76,"14.9%",10,"0.6%",33,"21.9%"
"Reggie Bullock",28.6,NYK,Wing,611,"","84.2%",10,"3.2%",21,"0.6%",70,"28.6%"
"Hamidou Diallo",21.2,OKC,Wing,610,4,"63.6%",62,"9.3%",8,"0.4%",88,"36.8%"
"Jordan McRae",28.5,WAS,Wing,607,27,"75.3%",67,"9.9%",88,"1.7%",50,"22.6%"
"Bruno Fernando",21.2,ATL,Big,605,6,"55.8%",55,"10.8%",45,"1.4%",75,"33.3%"
"Moritz Wagner",22.5,WAS,Big,601,79,"80.3%",70,"14.0%",72,"2.1%",13,"16.1%"
"Michael Porter",21.3,DEN,Forward,596,42,"76.7%",46,"8.6%",36,"0.8%",79,"30.4%"
"Trevor Ariza",34.3,POR,Forward,565,95,"89.3%",76,"12.5%",31,"0.8%",89,"35.3%"
"Frank Jackson",21.4,NOP,Point,548,46,"80.4%",66,"9.6%",17,"1.0%",34,"18.2%"
"Jeff Green",33.1,UTA,Forward,546,44,"77.8%",89,"14.4%",51,"1.0%",11,"9.7%"
"Luguentz Dort",20.5,OKC,Wing,539,30,"75.9%",80,"11.2%",56,"1.0%",89,"37.5%"
"Skal Labissiere",23.6,POR,Big,533,73,"77.4%",35,"8.6%",33,"1.3%",6,"7.7%"
"Luke Kornet",24.2,CHI,Big,532,"","70.8%",14,"5.9%",23,"1.1%",19,"18.2%"
"Sterling Brown",24.7,MIL,Wing,524,76,"84.6%",54,"8.3%",20,"0.6%",85,"35.7%"
"Dennis Smith Jr.",21.9,NYK,Point,523,0,"49.0%",72,"10.4%",47,"1.6%",60,"21.7%"
"Dewayne Dedmon",30.2,SAC,Big,519,"","79.2%",15,"6.0%",70,"2.0%",86,"40.0%"
"Timothe Luwawu-Cabarrot",24.4,BKN,Wing,517,49,"80.0%",63,"9.4%",30,"0.7%",14,"13.3%"
"Daniel Gafford",21.0,CHI,Big,516,3,"49.0%",80,"15.6%",33,"1.3%",35,"22.7%"
"Patrick Patterson",30.6,LAC,Big,515,93,"84.6%",16,"6.0%",20,"1.0%",0,"0.0%"
"Anthony Tolliver",34.4,POR,Big,514,"","66.7%",26,"8.0%",2,"0.3%",75,"33.3%"
"Chandler Hutchison",23.5,CHI,Forward,513,2,"59.5%",100,"18.4%",60,"1.2%",41,"21.6%"
"Blake Griffin",30.6,DET,Big,512,74,"77.6%",81,"15.9%",96,"3.6%",52,"26.7%"
"Tyler Johnson",27.4,PHX,Combo,509,21,"75.0%",45,"7.2%",16,"0.8%",0,"0.0%"
"Harry Giles",21.5,SAC,Big,508,68,"76.7%",36,"9.0%",86,"2.6%",15,"16.7%"
"Allen Crabbe",27.5,ATL,Wing,495,"","77.8%",16,"3.8%",4,"0.3%",90,"40.0%"
"Jordan McLaughlin",23.5,MIN,Point,489,18,"68.8%",70,"10.3%",45,"1.6%",94,"46.7%"
"Nicolas Batum",30.8,CHA,Wing,488,"","90.0%",25,"5.0%",39,"0.7%",59,"25.0%"
"Nassir Little",19.7,POR,Forward,485,4,"62.1%",57,"10.2%",49,"1.0%",47,"23.1%"
"Shake Milton",23.0,PHI,Combo,479,31,"77.8%",77,"10.7%",3,"0.5%",19,"15.8%"
"Grayson Allen",24.0,MEM,Wing,466,61,"81.5%",54,"8.3%",78,"1.4%",70,"28.6%"
"Raul Neto",27.4,PHI,Point,461,"","88.9%",4,"2.9%",55,"1.7%",0,"0.0%"
"Zion Williamson",19.3,NOP,Big,460,22,"63.9%",96,"21.7%",77,"2.2%",26,"20.0%"
"Kelan Martin",24.2,MIN,Forward,455,"","100.0%",21,"5.9%",33,"0.8%",77,"30.0%"
"Alfonzo McKinnie",27.1,CLE,Forward,455,25,"70.4%",50,"8.9%",19,"0.7%",21,"16.7%"
"Nickeil Alexander-Walker",21.1,NOP,Combo,444,"","60.0%",24,"5.5%",21,"0.9%",32,"18.2%"
"Wayne Ellington",31.9,NYK,Combo,443,"","84.6%",6,"2.8%",50,"1.2%",61,"25.0%"
"Mike Muscala",28.3,OKC,Big,438,"","82.4%",8,"4.1%",64,"1.9%",15,"16.7%"
"Tony Bradley",21.8,UTA,Big,428,26,"66.7%",43,"9.7%",28,"1.2%",42,"25.0%"
"Yogi Ferrell",26.4,SAC,Point,428,82,"87.1%",34,"6.2%",30,"1.3%",0,"0.0%"
"Jeff Teague",31.3,ATL,Combo,424,94,"90.2%",89,"13.4%",56,"1.4%",45,"21.1%"
"Jake Layman",25.6,MIN,Forward,414,"","69.6%",44,"8.3%",20,"0.7%",91,"38.5%"
"Jahlil Okafor",23.8,NOP,Big,414,21,"63.8%",86,"17.6%",84,"2.6%",74,"32.1%"
"Rodions Kurucs",21.7,BKN,Forward,412,"","68.2%",31,"7.3%",39,"0.9%",53,"25.0%"
"John Henson",28.8,CLE,Big,405,2,"48.4%",28,"8.1%",87,"2.7%",62,"30.0%"
"Thabo Sefolosha",35.4,HOU,Big,399,"","37.5%",4,"3.6%",1,"0.3%",97,"66.7%"
"Marko Guduric",24.6,MEM,Wing,396,"","100.0%",34,"5.6%",80,"1.4%",99,"57.1%"
"Kent Bazemore",30.3,SAC,Forward,394,33,"73.7%",93,"15.7%",76,"1.6%",74,"29.2%"
"Dante Exum",24.3,CLE,Wing,382,24,"74.4%",98,"17.8%",50,"0.9%",20,"15.8%"
"Al-Farouq Aminu",29.1,ORL,Forward,380,9,"65.5%",87,"14.1%",70,"1.3%",9,"7.1%"
"Jerome Robinson",22.6,LAC,Wing,380,"","66.7%",27,"5.1%",29,"0.6%",35,"20.0%"
"Jacob Evans",22.3,GSW,Wing,377,85,"86.2%",75,"10.4%",41,"0.8%",9,"7.1%"
"Reggie Jackson",29.5,DET,Point,375,33,"78.1%",15,"4.1%",70,"2.1%",98,"62.5%"
"Troy Daniels",28.2,LAL,Wing,373,"","58.3%",11,"3.3%",12,"0.5%",95,"50.0%"
"Cristiano Felicio",27.3,CHI,Big,373,"","78.3%",89,"19.0%",12,"0.8%",42,"25.0%"
"Brandon Goodwin",24.0,ATL,Combo,370,96,"92.3%",44,"7.0%",60,"1.4%",61,"25.0%"
"Juan Hernangomez",24.0,DEN,Forward,370,"","64.0%",81,"13.6%",59,"1.1%",39,"21.4%"
"Gary Payton II",26.9,WAS,Forward,365,"","50.0%",4,"4.0%",4,"0.3%",97,"50.0%"
"Cheick Diallo",23.1,PHX,Big,359,"","95.2%",26,"8.0%",38,"1.3%",75,"33.3%"
"Naz Reid",20.1,MIN,Big,357,31,"67.6%",39,"9.5%",30,"1.2%",50,"26.3%"
"Denzel Valentine",25.9,CHI,Wing,355,"","100.0%",0,"1.2%",14,"0.5%",0,"0.0%"
"Anzejs Pasecniks",23.8,WAS,Big,351,12,"60.4%",64,"12.9%",94,"3.2%",68,"30.8%"
"Dzanan Musa",20.4,BKN,Forward,345,20,"69.4%",56,"10.1%",87,"1.8%",10,"8.3%"
"Justise Winslow",23.6,MIA,Combo,338,6,"66.7%",52,"7.5%",34,"1.0%",11,"10.0%"
"Malik Beasley",22.9,MIN,Wing,332,"","76.2%",38,"5.9%",65,"1.1%",77,"30.0%"
"Goga Bitadze",20.2,IND,Big,328,"","75.0%",23,"6.9%",17,"0.9%",0,"0.0%"
"Noah Vonleh",24.1,MIN,Big,327,80,"80.8%",43,"9.7%",78,"2.3%",8,"11.1%"
"Marvin Bagley",20.6,SAC,Big,326,85,"82.1%",45,"9.8%",69,"2.0%",89,"41.2%"
"Robert Covington",28.8,HOU,Big,323,"","88.9%",4,"3.5%",15,"0.9%",42,"25.0%"
"Quinn Cook",26.6,LAL,Combo,322,"","75.0%",2,"1.6%",6,"0.5%",97,"50.0%"
"Tim Frazier",28.9,DET,Point,310,"","78.9%",53,"8.7%",40,"1.5%",0,"0.0%"
"Javonte Green",26.2,BOS,Wing,309,"","55.0%",87,"12.8%",35,"0.7%",35,"20.0%"
"Shaquille Harrison",26.0,CHI,Wing,307,30,"75.9%",90,"13.6%",54,"1.0%",14,"13.3%"
"J.J. Barea",35.3,DAL,Point,299,"","92.9%",28,"5.4%",26,"1.2%",68,"25.0%"
"Jae Crowder",29.3,MIA,Big,298,68,"76.9%",49,"10.0%",14,"0.9%",62,"30.0%"
"Andrew Wiggins",24.6,GSW,Forward,293,27,"71.4%",91,"14.7%",97,"2.5%",93,"40.9%"
"Juan Hernangomez",24.0,MIN,Big,288,14,"61.1%",70,"14.0%",68,"2.0%",42,"25.0%"
"Theo Pinson",23.9,BKN,Combo,288,"","93.8%",53,"7.6%",53,"1.3%",94,"40.0%"
"Trey Burke",26.9,PHI,Point,273,"","76.9%",6,"3.0%",43,"1.5%",83,"33.3%"
"Robert Williams",22.0,BOS,Big,270,"","57.1%",62,"12.7%",65,"1.9%",90,"42.9%"
"Marcus Morris",30.1,LAC,Big,267,"","87.5%",9,"4.3%",13,"0.8%",0,"0.0%"
"D'Angelo Russell",23.6,MIN,Point,264,87,"87.5%",36,"6.4%",68,"2.1%",40,"20.0%"
"James Johnson",32.6,MIA,Big,263,"","57.1%",42,"9.6%",8,"0.5%",42,"25.0%"
"Josh Jackson",22.7,MEM,Forward,262,18,"69.2%",59,"10.3%",86,"1.7%",30,"18.2%"
"Willy Hernangomez",25.4,CHA,Big,259,30,"67.6%",68,"13.5%",75,"2.2%",26,"20.0%"
"Edmond Sumner",23.8,IND,Wing,256,"","72.7%",51,"7.7%",73,"1.2%",22,"16.7%"
"Victor Oladipo",27.4,IND,Wing,255,37,"76.9%",73,"10.2%",71,"1.2%",19,"15.4%"
"Matt Thomas",25.2,TOR,Wing,255,"","75.0%",5,"2.5%",13,"0.5%",95,"50.0%"
"Shabazz Napier",28.3,WAS,Point,250,69,"85.2%",74,"10.4%",66,"2.0%",15,"10.0%"
"David Nwaba",26.7,BKN,Combo,248,"","66.7%",90,"15.2%",5,"0.5%",8,"8.3%"
"Chris Silva",23.1,MIA,Big,248,32,"68.3%",97,"23.6%",92,"2.8%",6,"5.9%"
"Carsen Edwards",21.6,BOS,Combo,247,"","80.0%",8,"3.3%",37,"1.0%",0,"0.0%"
"JaKarr Sampson",26.6,IND,Big,246,"","40.0%",21,"6.8%",32,"1.3%",92,"50.0%"
"James Johnson",32.6,MIN,Big,243,35,"69.2%",73,"14.3%",8,"0.5%",59,"28.6%"
"Otto Porter",26.4,CHI,Forward,243,"","72.7%",66,"10.9%",64,"1.2%",96,"45.5%"
"Kevon Looney",23.7,GSW,Big,241,"","66.7%",37,"9.3%",3,"0.4%",97,"71.4%"
"Ed Davis",30.4,UTA,Big,240,"","44.4%",19,"6.7%",85,"2.6%",92,"50.0%"
"Admiral Schofield",22.5,WAS,Forward,240,"","70.0%",13,"5.2%",77,"1.6%",0,"0.0%"
"Iman Shumpert",29.3,BKN,Forward,239,"","57.1%",1,"3.1%",7,"0.5%",97,"50.0%"
"Evan Turner",31.0,ATL,Wing,234,"","84.6%",70,"10.0%",37,"0.7%",70,"28.6%"
"Jared Dudley",34.3,LAL,Big,229,"","",0,"0.0%",4,"0.4%",99,""
"Ty Jerome",22.3,PHX,Combo,227,"","83.3%",5,"2.5%",44,"1.1%",0,"0.0%"
"Isaiah Hartenstein",21.4,HOU,Big,224,"","66.7%",83,"16.1%",71,"2.1%",96,"60.0%"
"Boban Marjanovic",31.2,DAL,Big,223,41,"70.4%",67,"13.4%",91,"2.8%",92,"46.7%"
"Deonte Burton",25.7,OKC,Forward,219,"","33.3%",11,"5.1%",56,"1.0%",53,"25.0%"
"Tyson Chandler",37.0,HOU,Big,219,"","46.2%",99,"27.3%",51,"1.7%",15,"16.7%"
"PJ Dozier",23.0,DEN,Wing,208,"","63.6%",45,"6.5%",44,"0.8%",35,"20.0%"
"Romeo Langford",20.0,BOS,Wing,207,"","61.5%",46,"6.7%",45,"0.8%",0,"0.0%"
"Juan Toscano-Anderson",26.5,GSW,Wing,205,"","60.0%",43,"6.4%",46,"0.8%",84,"33.3%"
"Brandon Knight",27.9,CLE,Wing,204,"","27.3%",1,"1.4%",98,"3.5%",100,"100.0%"
"Kyle O'Quinn",29.6,PHI,Big,203,"","50.0%",28,"8.1%",31,"1.3%",86,"40.0%"
"Caleb Swanigan",22.5,POR,Big,203,"","44.4%",32,"8.3%",90,"2.8%",75,"33.3%"
"Allonzo Trier",23.7,NYK,Combo,199,19,"74.1%",82,"11.8%",90,"2.1%",0,"0.0%"
"Jordan Bell",24.8,MIN,Big,198,"","65.2%",57,"11.1%",62,"1.9%",15,"16.7%"
"Jerome Robinson",22.6,WAS,Wing,196,"","83.3%",10,"3.3%",9,"0.4%",0,"0.0%"
"Terance Mann",23.0,LAC,Wing,191,"","72.7%",90,"14.3%",64,"1.1%",22,"16.7%"
"Jalen McDaniels",21.7,CHA,Wing,191,"","75.0%",95,"15.2%",11,"0.5%",70,"28.6%"
"Gary Clark",24.9,ORL,Wing,186,"","100.0%",6,"2.6%",2,"0.2%",0,"0.0%"
"Gary Clark",24.9,HOU,Big,185,"","83.3%",5,"3.7%",11,"0.7%",0,"0.0%"
"James Ennis",29.3,ORL,Wing,184,"","86.7%",89,"13.6%",92,"2.1%",12,"12.5%"
"Garrison Mathews",23.0,WAS,Wing,184,99,"92.3%",99,"20.0%",86,"1.6%",30,"18.2%"
"Treveon Graham",26.0,ATL,Forward,183,"","50.0%",84,"14.0%",23,"0.7%",71,"28.6%"
"Andre Iguodala",35.7,MIA,Forward,183,"","25.0%",20,"5.6%",24,"0.7%",97,"50.0%"
"Courtney Lee",34.0,DAL,Wing,178,"","66.7%",22,"4.5%",0,"0.0%",95,"50.0%"
"Chris Clemons",22.2,HOU,Combo,175,"","66.7%",0,"0.0%",32,"1.0%",100,""
"Maurice Harkless",26.4,NYK,Wing,174,"","60.0%",93,"14.9%",3,"0.2%",17,"14.3%"
"Justin James",22.7,SAC,Wing,173,"","25.0%",2,"2.0%",75,"1.3%",0,"0.0%"
"Caleb Martin",24.0,CHA,Wing,167,"","50.0%",4,"2.2%",58,"1.0%",0,"0.0%"
"Alec Burks",28.2,PHI,Combo,164,"","89.5%",84,"12.3%",55,"1.4%",82,"30.0%"
"Derrick Walton Jr.",24.5,LAC,Point,161,"","66.7%",40,"7.1%",4,"0.8%",0,"0.0%"
"Nicolas Claxton",20.5,BKN,Big,157,"","45.5%",82,"15.9%",42,"1.4%",90,"42.9%"
"CJ Miles",32.6,WAS,Wing,155,"","78.9%",83,"12.5%",17,"0.5%",12,"12.5%"
"Gorgui Dieng",29.7,MEM,Big,153,"","69.2%",46,"9.8%",87,"2.7%",86,"40.0%"
"Andre Drummond",26.2,CLE,Big,153,"","47.4%",60,"12.3%",89,"2.7%",92,"50.0%"
"Ante Zizic",22.8,CLE,Big,152,"","70.0%",32,"8.3%",79,"2.3%",92,"50.0%"
"Bruno Caboclo",24.1,MEM,Big,150,"","66.7%",5,"3.7%",1,"0.3%",92,"50.0%"
"TJ Leaf",22.5,IND,Big,149,"","62.5%",11,"5.2%",24,"1.1%",0,"0.0%"
"Glenn Robinson III",25.8,PHI,Forward,147,"","100.0%",3,"3.5%",3,"0.3%",0,"0.0%"
"John Henson",28.8,DET,Big,140,"","45.5%",50,"10.3%",33,"1.3%",42,"25.0%"
"Norvel Pelle",26.7,PHI,Big,140,"","50.0%",54,"10.7%",35,"1.3%",0,"0.0%"
"Dewayne Dedmon",30.2,ATL,Big,137,"","100.0%",24,"7.0%",0,"0.0%",98,"100.0%"
"Dragan Bender",21.9,GSW,Forward,136,"","50.0%",4,"4.0%",94,"2.3%",0,"0.0%"
"D.J. Wilson",23.6,MIL,Big,133,"","100.0%",3,"2.9%",18,"0.9%",98,"100.0%"
"Ryan Broekhoff",29.1,DAL,Forward,132,"","87.5%",24,"6.4%",0,"0.0%",0,"0.0%"
"Allen Crabbe",27.5,MIN,Wing,131,"","50.0%",7,"3.0%",5,"0.3%",0,"0.0%"
"Michael Kidd-Gilchrist",26.0,CHA,Big,131,"","71.4%",24,"7.0%",40,"1.4%",75,"33.3%"
"Tyrone Wallace",25.3,ATL,Combo,130,"","77.8%",76,"10.5%",29,"1.0%",61,"25.0%"
"Marvin Williams",33.3,MIL,Big,122,"","100.0%",0,"0.0%",46,"1.4%",99,""
"Brandon Knight",27.9,DET,Point,116,"","70.0%",2,"2.0%",98,"4.4%",0,"0.0%"
"Alen Smailagic",19.2,GSW,Big,116,"","84.2%",96,"22.2%",61,"1.9%",62,"30.0%"
"Mychal Mulder",25.3,GSW,Wing,114,"","75.0%",29,"5.3%",6,"0.4%",95,"50.0%"
"Johnathan Williams",24.4,WAS,Big,113,"","60.0%",73,"14.3%",60,"1.8%",75,"33.3%"
"Stephen Curry",31.6,GSW,Point,112,"","100.0%",81,"11.3%",36,"1.4%",21,"12.5%"
"Alex Len",26.3,SAC,Big,111,"","80.0%",38,"9.4%",58,"1.8%",75,"33.3%"
"Jaylen Nowell",20.3,MIN,Combo,111,"","91.7%",85,"12.8%",0,"0.0%",21,"16.7%"
"Reggie Jackson",29.5,LAC,Wing,106,"","100.0%",34,"5.6%",70,"1.2%",0,"0.0%"
"DeMarre Carroll",33.2,SAS,Forward,105,"","75.0%",97,"16.7%",0,"0.0%",0,"0.0%"
"Chris Chiozza",23.9,WAS,Point,102,"","",0,"0.0%",32,"1.3%",100,""
